True_G,Predicted_G,Predicted_SMILES,Tanimoto_Similarity
-323.368166,-315.38677978515625,CC1=NC=CC1C#C,0.34375
-458.952489,-457.190673828125,CN1CC(=O)CNC1=O,1.0
-439.030829,-435.56060791015625,CCC(=O)C1=NNN=C1,0.6666666666666666
-423.026195,-420.75250244140625,CC(=O)C1COC1C#C,1.0
-435.306724,-437.18951416015625,C[NH+]=C(C1O)CN=C[N-]1,0.2894736842105263
-420.482505,-411.2081604003906,C1C2OC3CC3C2OC1,1.0
-384.509176,-380.9031982421875,COCC#CCC=O,1.0
-459.012433,-456.5992736816406,C1OC2CC3OCC2OC13,0.7222222222222222
-384.932976,-391.29736328125,C#CC1OC11CCCC1,1.0
-454.017083,-439.3265380859375,CC12CC1(O)C(=N)OC2,1.0
-386.166712,-374.70794677734375,CC1CC(CO)C1O,0.6363636363636364
-387.080318,-385.89556884765625,CC12CCCC1C(=O)C2,1.0
-367.163242,-362.87091064453125,O=C(CC=O)C#N,0.5909090909090909
-401.94623,-407.47186279296875,CC1C=CC2OC12C#N,0.5714285714285714
-473.901966,-467.5239562988281,O=CC(=O)C1=NC=NN1,0.45161290322580644
-400.625888,-404.7390441894531,COCC12NC1(C)C=C2,0.4166666666666667
-398.168209,-407.49810791015625,O=C1CCC2=C1NC=C2,0.4482758620689655
-415.900927,-411.551513671875,CC1OC11CN=CO1,0.5384615384615384
-439.111029,-442.32904052734375,CCOC1C2NC(=O)C12,0.5769230769230769
-423.032248,-423.55511474609375,CC12CCC1OC(=O)C2,1.0
-455.196627,-438.5665283203125,O=C1OCC=C1NC=N,0.6785714285714286
-403.161666,-398.88018798828125,CC(C)CCC(=O)C#N,0.6956521739130435
-440.344934,-440.3620910644531,CC1CNC(=O)CC1=O,0.5384615384615384
-424.253988,-417.15606689453125,O=COC1COC1C,0.6296296296296297
-421.699744,-427.0572814941406,CC1C(CO)C1COC,0.6086956521739131
-387.126245,-387.3385925292969,CC1=C(C)COC1C#C,1.0
-459.008178,-455.5815124511719,OCC1C(C=O)C(O)=C1,0.375
-398.564932,-403.4945983886719,C1C2C3NC4OCC13C24,0.36363636363636365
-401.967498,-404.106689453125,OC1=CN=C2CC=CC12,0.29411764705882354
-424.275478,-425.00830078125,COC1CCC1C(C)O,1.0
-387.11786,-389.08013916015625,CC12C(O)C1CCC2C,1.0
-416.7288,-404.5711364746094,C1CC1C12CC1N=COC2,0.6551724137931034
-494.981128,-497.4554443359375,OC1COC(=O)C11CO1,1.0
-453.990653,-430.98797607421875,OC1CC=C(O)C1(C)C#N,0.4375
-401.930334,-405.4276123046875,OCC12CC(C1)NC=C2,0.4642857142857143
