True_G,Predicted_G,Predicted_SMILES,Tanimoto_Similarity
-323.368166,-304.49835205078125,C1NC1CC1CN1,0.5555555555555556
-458.952489,-459.25592041015625,OC1C(=O)OCC11CC1,1.0
-423.026195,-425.34942626953125,NC1=NNC(C#N)=C1N,1.0
-363.833841,-366.244384765625,CC1=CCC(C#C)=C1N,0.3333333333333333
-420.482505,-422.6053466796875,CCN=C1ON=CC=C1,1.0
-384.509176,-375.3924560546875,O1C2CC3CC1OC23,1.0
-459.012433,-451.4013671875,CNC1=C(NC=O)OC1,0.45161290322580644
-384.932976,-370.123779296875,COC(C)NC1CN1,0.4230769230769231
-387.080318,-370.664306640625,C#CC1C2CC(CC12)O,1.0
-367.163242,-372.1851806640625,CCC1C(=N)OC1C,1.0
-473.901966,-474.2422790527344,NC1=C(C=O)C(O)=CO1,0.6153846153846154
-400.625888,-391.8211669921875,COC(C#C)C(N)=O,1.0
-439.103376,-439.1082458496094,OCCOC=NC1CC1,0.6296296296296297
-398.168209,-402.37939453125,CC1(C)OC1C#CC#N,1.0
-415.900927,-404.9725341796875,OC1(C#C)C2C3NC3C12,0.5909090909090909
-439.111029,-444.12432861328125,NC(=O)C1(CN1)C1CN1,1.0
-423.032248,-423.56591796875,N=CC1OC11CC2CN12,0.34375
-455.196627,-455.2111511230469,ON=CCC12C(N1)C2=O,0.3235294117647059
-440.344934,-421.39019775390625,CCC1N=CN(C)C#CO1,0.2894736842105263
-421.699744,-416.6061706542969,OCC1CC2=NCC=CN12,0.3783783783783784
-387.126245,-382.09722900390625,CC1NC(=N)C11CCC1,0.6153846153846154
-459.008178,-448.9815673828125,O=C(C#N)N1CCOC1,0.56
-401.967498,-399.31585693359375,CN=COC(C#C)C#C,1.0
-424.275478,-414.483642578125,NC1(CC#CC=O)NC1,0.6071428571428571
-416.7288,-417.83978271484375,CC1(O)N2C3C2N2C3C12,0.4230769230769231
-494.981128,-493.2347717285156,CNC(=O)N(C)OC=O,0.5
-453.990653,-455.80426025390625,CNC(CO)=NC(C)=O,0.4642857142857143
-401.930334,-405.4100646972656,N#CC(CCC1CC1)CO,0.6296296296296297
-387.088362,-379.02459716796875,OCC(C=O)CC#C,1.0
-346.561881,-298.814697265625,C12C3C4CCCC13C24,0.5
-458.973467,-429.0299987792969,CNC(=O)OC(N)(C)C,0.6363636363636364
-387.066401,-389.4742126464844,CC1OCC2(C)CC1C2,1.0
-403.185822,-384.95477294921875,O=C1NC=COC1C,0.5172413793103449
-351.16747,-348.14447021484375,OC1CC2CCCC12,1.0
-460.183984,-471.40545654296875,NC1=NC2(CN12)OC=O,0.36666666666666664
-423.098641,-419.555419921875,CN1CC1C1=CC=NO1,1.0
-387.1029,-380.82806396484375,N#CCCCCCC#N,1.0
-440.360621,-441.04119873046875,OC1(C#N)C23OC1C2C3,0.45161290322580644
-423.04233,-419.8189392089844,OCC1CC(CCC1)=O,1.0
-429.105676,-410.7391662597656,C(O)C1=NC=CN=N1,1.0
